"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","num_epochs","shape","Test Loss","Training Loss","Validation Loss"
"E40","finished","-","fh720","Experiment","2022-11-25T15:07:55.000Z","2235","","16","0.001","1000","[9,256,256,1]","2715296353.8461537","2466742442.188862","2720604088"
"E30","finished","-","thesanjeetc","Experiment","2022-11-25T16:04:04.000Z","794","","32","0.01","1000","[9,128,128,1]","2861666774.1538463","2167946291.7578692","2852728337.8461537"
"E38","finished","-","fh720","Experiment","2022-11-25T14:29:10.000Z","1394","","16","0.001","1000","[9,128,128,1]","2895462286","2728363169.975787","2914680608.6153846"
"E26","finished","-","thesanjeetc","Experiment","2022-11-25T14:27:31.000Z","1435","","16","0.01","1000","[9,128,128,1]","2908245178.1538463","1655627082.769976","2947494716.3076925"
"E42","finished","-","fh720","Experiment","2022-11-25T15:53:58.000Z","740","","32","0.001","1000","[9,128,128,1]","3106759236.923077","2944983635.37046","3138885698.4615383"
"E3","finished","-","thesanjeetc","Experiment","2022-11-25T13:04:58.000Z","367","","32","0.001","500","[9,128,128,1]","3354586850.4615383","3305042434.1694913","3336000059.076923"
"E1","finished","-","thesanjeetc","Experiment","2022-11-25T12:56:01.000Z","295","","32","0.001","500","[9,64,64,1]","3497892302.769231","3480070581.6174335","3479784801.230769"
"E27","finished","-","thesanjeetc","Experiment","2022-11-25T14:51:28.000Z","829","","16","0.01","1000","[9,256,1]","3660375092.307693","3631734338.750605","3791497411.692307"
"E11","finished","-","thesanjeetc","Experiment","2022-11-25T13:23:30.000Z","98","","512","0.001","500","[9,128,128,1]","3765202560","4107616669.5384617","4440486528"
"E31","finished","-","thesanjeetc","Experiment","2022-11-25T16:17:23.000Z","486","","32","0.01","1000","[9,256,1]","3876709954.4615383","3854767346.6731234","3955722547.692307"
"E7","finished","-","thesanjeetc","Experiment","2022-11-25T13:16:51.000Z","140","","128","0.001","500","[9,128,128,1]","3890738747.076923","3904182050.4615383","3890164873.8461537"
"E29","finished","-","thesanjeetc","Experiment","2022-11-25T15:56:05.000Z","474","","32","0.01","1000","[9,128,1]","3918256054.1538463","3864449031.748184","3872656792.6153846"
"E5","finished","-","thesanjeetc","Experiment","2022-11-25T13:12:54.000Z","123","","128","0.001","500","[9,64,64,1]","3932433742.769231","3916073401.8461537","3931420928"
"E28","finished","-","thesanjeetc","Experiment","2022-11-25T15:05:21.000Z","3041","","16","0.01","1000","[9,256,256,1]","3939729283.692307","669236271.7191284","3935301511.692307"
"E25","finished","-","thesanjeetc","Experiment","2022-11-25T14:13:59.000Z","810","","16","0.01","1000","[9,128,1]","3945435866.4615383","3851783886.953995","3838952235.076923"
