Rank,batch_size,learning_rate,num_epochs,shape,Test Loss,Training Loss,Rel diff
1,16,0.001,1000,9-256-256-1,52_109,49_666,0.05
2,32,0.01,1000,9-128-128-1,53_495,46_561,0.15
3,16,0.001,1000,9-128-128-1,53_809,52_234,0.03
4,16,0.01,1000,9-128-128-1,53_928,40_689,0.33
5,32,0.001,1000,9-128-128-1,55_738,54_268,0.03
6,32,0.001,500,9-128-128-1,57_919,57_489,0.01
7,32,0.001,500,9-64-64-1,59_143,58_992,0.00
8,16,0.01,1000,9-256-1,60_501,60_264,0.00
9,512,0.001,500,9-128-128-1,61_361,64_091,-0.04
10,32,0.01,1000,9-256-1,62_263,62_087,0.00
11,128,0.001,500,9-128-128-1,62_376,62_483,-0.00
12,32,0.01,1000,9-128-1,62_596,62_165,0.01
13,128,0.001,500,9-64-64-1,62_709,62_579,0.00
14,16,0.01,1000,9-256-256-1,62_767,25_870,1.43
15,16,0.01,1000,9-128-1,62_813,62_063,0.01
16,16,0.001,1000,9-256-1,63_699,63_860,-0.00
17,32,0.001,1000,9-256-1,64_188,64_479,-0.00
18,512,0.001,500,9-64-64-1,64_529,65_238,-0.01
19,32,0.0001,500,9-128-128-1,64_990,65_455,-0.01
20,32,0.001,1000,9-128-1,65_020,65_183,-0.00
21,32,0.0001,500,9-64-64-1,66_326,66_945,-0.01
22,16,0.001,1000,9-128-1,66_353,64_580,0.03
23,32,0.001,500,9-128-1,66_406,66_991,-0.01
24,32,0.001,500,9-64-1,67_004,67_758,-0.01
25,128,0.0001,500,9-128-128-1,68_877,69_421,-0.01
26,128,0.001,500,9-128-1,72_188,73_397,-0.02
27,128,0.0001,500,9-64-64-1,81_885,82_803,-0.01
28,128,0.001,500,9-64-1,88_378,89_210,-0.01
29,32,0.0001,500,9-128-1,129_872,131_370,-0.01
30,512,0.0001,500,9-128-128-1,134_686,138_144,-0.03
31,512,0.001,500,9-128-1,160_913,160_687,0.00
32,32,0.0001,500,9-64-1,172_261,172_242,0.00
33,512,0.001,500,9-64-1,196_424,195_188,0.01
34,512,0.0001,500,9-64-64-1,200_460,200_965,-0.00
35,128,0.0001,500,9-128-1,227_688,225_577,0.01
36,128,0.0001,500,9-64-1,233_420,232_149,0.01
37,512,0.0001,500,9-128-1,240_643,235_966,0.02
38,512,0.0001,500,9-64-1,242_282,236_436,0.02
